Age,Gender,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,treatment
29,19,0,1,3,2,0,1,0,0,1,1,1
29,35,0,0,2,0,0,1,1,0,1,1,0
23,35,1,1,3,0,0,1,1,0,1,1,0
42,19,0,0,1,4,0,1,0,0,1,0,1
30,19,1,0,0,0,1,1,1,2,1,1,0
33,32,0,0,1,5,0,1,2,2,0,0,1
20,19,0,0,0,2,0,1,0,1,0,0,0
24,9,0,1,1,4,1,1,1,0,1,1,1
47,15,0,1,3,5,0,1,2,2,2,2,1
28,35,0,0,3,2,0,1,1,2,1,1,0
37,32,0,1,3,2,1,1,2,2,1,0,1
33,35,1,1,2,0,0,0,1,0,1,1,1
38,9,0,1,3,2,1,1,0,1,0,0,0
34,35,1,0,3,0,1,1,1,0,1,1,1
29,19,0,1,2,0,1,1,2,2,2,2,1
36,35,1,0,0,0,0,1,2,0,1,0,0
32,9,0,0,1,5,0,0,0,1,0,0,1
29,19,0,0,2,5,0,1,0,1,0,0,0
26,19,0,0,2,5,0,1,2,1,0,0,1
30,19,1,1,1,0,1,1,1,2,1,1,1
32,19,0,1,2,5,0,0,2,2,2,2,1
26,32,0,0,3,2,1,1,0,0,1,0,1
40,15,0,0,2,5,0,1,2,2,2,2,0
32,35,0,1,2,4,0,0,1,0,1,1,1
40,32,0,1,2,5,0,0,2,0,0,0,1
39,19,0,0,0,2,0,1,2,2,2,2,0
41,9,0,1,2,3,1,1,2,2,2,2,1
22,9,0,1,1,5,0,1,2,2,2,2,1
32,35,0,0,3,4,0,1,1,0,1,1,1
32,19,0,1,1,2,1,1,2,2,1,1,1
32,36,0,0,3,2,1,1,1,2,1,1,0
39,9,0,0,3,5,0,1,2,2,1,2,1
26,34,0,0,0,2,0,1,1,0,1,1,0
32,35,1,0,3,0,1,1,1,2,1,1,0
43,30,0,1,2,5,1,1,2,2,1,2,1
20,19,0,0,2,2,0,0,1,0,1,1,0
35,15,0,1,1,5,0,0,2,2,1,2,1
43,35,0,0,3,5,0,0,0,0,1,0,1
34,19,0,1,3,5,0,1,2,1,2,2,0
29,19,0,1,3,2,0,1,0,1,0,0,1
30,9,0,1,1,5,0,0,2,0,1,1,1
26,15,0,1,3,5,0,1,2,0,2,0,1
29,35,0,1,3,2,0,1,0,1,1,1,1
25,19,0,1,3,5,0,0,2,2,2,2,1
27,19,0,0,0,2,0,1,0,1,0,0,0
25,8,0,1,3,2,0,1,2,2,1,1,1
28,19,0,1,3,5,0,1,0,0,0,0,1
36,19,0,0,3,2,0,1,2,0,1,2,1
37,35,0,1,3,1,0,1,2,2,0,0,1
36,15,0,0,3,1,1,1,2,0,0,2,0
43,19,1,0,3,0,1,1,1,0,1,1,1
40,15,0,0,3,5,1,1,2,2,2,2,1
32,19,1,1,2,0,1,1,1,2,1,1,1
36,8,0,1,2,5,1,1,2,2,1,1,1
37,19,0,0,3,1,0,1,2,0,1,2,1
34,32,0,1,1,2,0,0,0,0,2,0,1
37,19,0,0,0,2,1,1,0,0,1,1,0
28,35,0,0,1,4,0,1,1,0,1,1,0
23,19,0,0,3,4,0,0,1,0,1,1,0
27,9,0,0,3,1,0,1,0,1,2,0,1
27,19,0,0,3,5,0,1,0,1,0,0,0
42,35,0,1,3,4,1,1,0,0,1,0,1
43,19,0,0,0,2,0,1,0,0,1,0,1
38,19,1,1,2,0,1,0,1,0,1,1,1
35,19,0,0,0,2,0,1,2,0,2,0,0
36,15,0,0,0,5,0,1,2,2,2,2,0
46,19,0,1,3,4,0,1,0,2,1,0,1
32,19,0,0,0,5,0,1,2,0,1,0,0
21,19,0,0,0,2,0,1,0,1,0,1,0
22,9,0,1,3,3,0,1,2,2,1,0,1
36,15,0,0,0,1,0,0,0,0,1,0,0
40,19,0,0,0,1,0,1,0,1,1,0,1
30,42,0,1,2,2,0,1,2,1,1,1,1
41,19,0,0,0,5,0,0,0,0,1,0,1
26,35,0,1,3,2,1,1,1,0,1,1,1
30,34,1,1,3,4,1,1,0,1,1,0,1
26,19,0,0,1,2,0,1,1,2,1,1,1
40,15,0,0,0,1,0,1,2,1,1,0,0
39,35,0,0,2,1,1,1,2,2,1,1,1
39,19,0,0,3,1,0,1,1,0,1,1,1
28,19,0,1,1,2,0,1,1,0,1,1,1
43,15,0,1,3,3,0,0,2,1,1,0,0
28,35,0,0,2,4,1,1,1,0,1,1,0
43,19,1,1,3,0,1,1,2,1,1,0,1
37,9,1,1,2,0,1,1,1,2,1,1,1
32,24,0,0,3,5,0,0,0,0,2,2,1
32,19,0,0,3,4,0,1,1,0,1,1,1
26,19,1,0,0,0,1,1,1,0,1,1,0
27,4,1,0,1,0,1,1,2,2,2,2,1
35,35,0,0,3,4,0,1,0,0,1,1,0
26,32,0,1,3,5,0,1,2,2,1,1,1
26,9,0,1,2,5,0,1,2,1,0,0,1
35,9,0,0,0,3,1,1,0,1,1,1,0
24,19,0,1,3,2,1,1,0,0,1,1,1
34,19,0,0,0,0,1,1,1,2,1,1,0
30,9,0,0,0,5,0,1,2,2,2,2,0
26,8,0,1,3,1,0,0,1,2,2,2,0
26,19,0,0,3,4,0,1,2,2,1,1,1
46,19,0,0,2,3,1,1,2,1,2,2,1
29,19,0,0,3,1,0,1,0,1,0,0,1
39,19,0,0,3,3,0,1,2,1,2,0,1
30,19,0,0,3,2,0,1,1,0,1,1,1
23,19,0,0,2,4,0,1,0,0,1,0,0
41,19,0,1,3,5,0,1,2,2,1,2,0
30,15,0,1,3,5,0,1,2,2,1,0,1
34,32,0,0,3,3,0,0,2,2,2,2,1
33,19,0,1,3,2,1,1,2,2,2,2,1
34,35,1,1,3,4,0,1,1,2,1,1,1
37,19,0,0,0,3,1,1,2,0,2,0,0
38,9,1,1,1,0,1,1,1,2,1,1,1
25,19,0,1,3,5,0,0,2,2,2,2,1
23,35,0,0,3,4,0,1,2,0,1,1,1
35,19,0,1,2,4,0,1,2,1,1,1,0
32,35,0,1,3,0,0,0,2,2,2,2,1
40,32,0,0,3,0,0,1,2,2,1,1,1
34,19,1,0,3,0,1,1,0,1,2,2,0
33,19,0,0,0,5,0,1,0,1,2,0,0
29,19,0,1,0,1,0,1,0,1,0,0,1
38,9,0,1,3,5,0,0,2,2,2,2,1
37,9,0,1,1,2,0,1,2,2,1,1,1
31,19,0,1,2,4,0,1,0,1,0,0,1
26,35,0,1,1,4,0,1,2,0,1,0,1
44,15,1,0,0,0,1,1,0,0,1,1,0
31,19,0,0,0,3,0,1,2,2,2,2,0
26,9,0,1,0,2,0,1,0,1,1,1,0
34,15,0,0,3,1,0,1,0,0,1,1,0
43,19,0,0,3,5,1,1,1,1,1,1,0
26,35,0,0,0,4,0,1,2,0,1,1,0
33,35,0,1,1,5,1,1,2,2,1,1,1
35,19,0,0,3,5,0,1,2,2,0,2,1
25,9,0,1,3,4,0,1,2,2,2,1,0
40,19,0,1,3,0,1,1,1,0,1,1,1
35,19,0,1,2,1,1,0,2,2,1,1,1
42,19,1,0,2,4,1,0,1,2,1,1,0
36,19,0,1,2,5,0,0,0,0,2,2,0
32,19,0,0,3,2,0,1,2,2,2,0,1
25,9,0,1,3,2,1,1,0,0,1,1,1
38,9,0,0,3,0,0,1,1,2,1,1,1
38,19,0,0,3,5,0,0,0,1,0,0,1
38,30,0,1,3,2,0,0,2,1,1,0,1
28,35,0,1,1,1,0,1,0,1,1,0,1
28,32,0,1,1,1,1,1,2,0,1,0,1
40,19,0,1,3,4,0,1,2,2,0,0,1
31,19,0,0,3,4,1,1,1,0,1,1,0
36,35,1,0,3,0,0,0,1,2,1,1,1
40,15,0,1,3,5,1,1,2,2,1,2,1
25,19,0,1,3,2,0,1,0,1,1,1,1
27,19,0,0,0,2,0,1,0,1,1,0,0
31,19,0,0,2,1,0,1,2,2,2,2,1
29,19,0,1,3,1,0,1,2,2,1,1,1
28,8,0,0,1,4,0,1,1,2,1,1,1
28,19,0,1,1,5,0,0,2,2,2,2,1
37,19,0,1,3,0,0,1,1,0,1,1,1
27,19,0,1,0,3,0,1,2,0,2,2,0
45,35,0,1,3,5,0,1,2,2,0,0,1
23,9,0,1,1,0,1,1,1,1,1,1,1
33,22,0,1,3,4,0,1,1,1,1,1,1
26,32,0,1,0,1,0,1,0,0,0,0,0
37,19,0,1,0,2,0,1,0,0,1,0,0
32,19,0,0,3,4,0,1,1,2,1,1,1
54,19,0,0,3,5,1,0,1,2,2,2,1
37,19,1,0,3,5,0,0,1,2,2,2,1
38,19,1,0,3,2,1,1,1,0,1,1,1
33,9,1,1,3,0,0,1,2,2,2,2,1
58,19,0,0,2,5,0,1,2,2,2,2,1
28,19,0,1,3,1,0,1,1,0,1,1,0
33,19,0,0,2,0,1,1,0,0,1,1,0
42,19,0,1,3,2,1,1,2,2,2,2,1
28,19,0,0,0,4,0,1,0,0,1,0,0
44,35,1,1,3,0,1,1,1,2,1,1,1
29,15,0,0,3,4,0,1,2,2,1,2,1
27,19,0,0,2,5,0,1,2,0,2,2,1
28,9,0,1,3,4,0,0,2,2,2,2,1
38,19,0,1,2,5,0,0,2,2,2,2,1
30,15,0,1,3,2,0,1,2,2,0,1,1
30,16,0,0,0,2,1,1,2,2,0,0,0
32,19,0,1,1,1,0,1,1,2,1,1,1
57,19,0,0,0,2,0,1,2,2,1,2,0
60,19,0,0,1,5,1,1,0,0,2,0,1
30,19,0,0,3,2,1,1,1,0,0,1,1
26,35,0,1,2,2,0,1,1,0,0,0,1
23,19,0,1,3,1,0,0,0,0,1,1,1
36,8,0,0,0,4,1,1,2,0,1,1,1
51,15,0,0,0,5,1,1,0,0,1,0,0
38,19,0,1,3,0,0,1,1,0,1,1,1
34,35,0,0,1,0,0,1,0,0,1,2,0
30,19,1,0,3,0,1,1,1,0,1,1,0
36,19,0,0,0,0,1,1,0,1,0,0,0
39,19,0,1,1,2,0,1,2,2,1,1,1
56,20,0,1,2,4,0,1,2,2,1,1,1
42,35,0,0,3,5,0,0,1,2,0,1,1
28,19,0,0,3,2,1,0,0,1,1,0,1
33,5,0,0,3,4,0,1,1,2,1,1,1
24,9,0,0,3,1,0,1,1,0,1,1,1
37,9,0,1,2,2,0,0,2,2,2,2,1
21,19,0,0,3,5,0,0,0,0,1,0,1
38,34,0,1,3,1,1,0,2,2,1,2,1
31,19,0,0,3,3,0,0,1,2,1,0,1
38,9,0,1,3,2,0,1,2,2,1,2,1
34,35,0,0,3,2,0,1,0,0,1,1,0
30,19,1,0,1,4,1,1,1,1,1,2,1
41,19,0,0,2,3,1,1,2,2,1,0,1
26,15,0,0,3,4,0,1,0,0,1,1,1
34,35,0,0,3,2,0,1,1,2,1,1,0
24,35,1,0,3,0,0,1,2,2,0,0,0
27,9,0,1,1,5,0,1,2,2,2,2,1
27,19,0,1,3,1,1,1,0,0,1,0,1
39,15,0,0,2,5,1,0,0,0,2,2,0
42,30,0,0,2,1,1,1,2,2,1,1,1
34,9,0,0,3,0,0,1,1,1,1,1,0
21,15,0,0,3,4,0,0,0,1,1,2,0
25,19,0,1,2,2,0,0,1,0,1,1,1
28,19,0,0,3,2,0,1,1,0,1,1,0
25,30,1,0,1,0,0,1,2,2,2,2,1
32,35,1,0,0,4,1,1,0,1,1,1,0
36,19,0,0,0,4,0,1,0,1,0,0,0
32,35,0,1,3,4,1,1,2,0,1,1,1
39,15,0,0,0,2,0,0,1,0,1,1,0
29,19,0,0,2,5,0,1,2,0,1,1,0
27,19,0,1,3,1,0,1,0,1,1,0,1
28,32,0,1,1,1,1,0,2,2,2,2,1
31,9,0,0,1,2,1,1,2,2,1,1,1
29,35,0,0,0,4,1,1,1,0,1,1,0
29,8,0,1,2,1,0,1,2,1,0,1,1
30,19,0,0,3,2,0,1,0,0,1,1,1
43,19,0,0,2,5,0,1,2,2,2,2,1
45,35,0,1,2,4,1,1,2,2,1,2,1
36,19,0,0,3,5,0,0,2,2,2,2,1
34,43,0,1,2,5,0,0,2,2,2,2,1
23,19,0,0,0,5,0,0,1,2,2,2,0
40,9,0,0,0,2,0,0,0,1,1,1,0
27,19,0,1,3,5,0,1,0,0,1,0,1
